Country,Country_Code,Year,Percentile,Indicator,Value
Afghanistan,AF,2020,p0p50,shweal,0.0478
Afghanistan,AF,2020,pall,anweal,34232.6856
Afghanistan,AF,2020,pall,wnweal,7.630100000000001
Afghanistan,AF,2021,p0p100,spllin,0.050999999
Afghanistan,AF,2021,p0p50,sptinc,0.1992
Afghanistan,AF,2021,p0p50,shweal,0.0478
Afghanistan,AF,2021,pall,anweal,26787.0619
Afghanistan,AF,2021,pall,wnweal,7.566400000000001
Afghanistan,AF,2022,p0p100,spllin,0.041000001
Afghanistan,AF,2022,p0p50,sptinc,0.1992
Afghanistan,AF,2022,p0p50,shweal,0.0478
Afghanistan,AF,2022,pall,anweal,23113.8332
Afghanistan,AF,2022,pall,wnweal,7.6645
Afghanistan,AF,2023,p0p100,spllin,0.030999999
Afghanistan,AF,2023,p0p50,sptinc,0.1992
Afghanistan,AF,2023,p0p50,shweal,0.0478
Afghanistan,AF,2023,pall,anweal,23914.8707
Afghanistan,AF,2023,pall,wnweal,7.718100000000001
Afghanistan,AF,2024,p0p100,spllin,0.021
Afghanistan,AF,2024,p0p50,sptinc,0.1992
Afghanistan,AF,2024,p0p50,shweal,0.0478
Afghanistan,AF,2024,pall,anweal,26206.6357
Afghanistan,AF,2024,pall,wnweal,7.718100000000001
Bangladesh,BD,2000,p0p100,spllin,0.1928
Bangladesh,BD,2000,p0p50,sptinc,0.1761
Bangladesh,BD,2000,p0p50,shweal,0.0462
Bangladesh,BD,2000,pall,anweal,12907.4048
Bangladesh,BD,2000,pall,wnweal,4.0069
Bangladesh,BD,2001,p0p100,spllin,0.19490001
Bangladesh,BD,2001,p0p50,sptinc,0.1757
Bangladesh,BD,2001,p0p50,shweal,0.0462
Bangladesh,BD,2001,pall,anweal,13908.3741
Bangladesh,BD,2001,pall,wnweal,4.233000000000001
Bangladesh,BD,2002,p0p100,spllin,0.19660001
Bangladesh,BD,2002,p0p50,sptinc,0.1731
Bangladesh,BD,2002,p0p50,shweal,0.0461
Bangladesh,BD,2002,pall,anweal,14387.7503
Bangladesh,BD,2002,pall,wnweal,4.2682
Bangladesh,BD,2003,p0p100,spllin,0.1983
Bangladesh,BD,2003,p0p50,sptinc,0.1697
Bangladesh,BD,2003,p0p50,shweal,0.0458
Bangladesh,BD,2003,pall,anweal,15365.5053
Bangladesh,BD,2003,pall,wnweal,4.408700000000001
Bangladesh,BD,2004,p0p100,spllin,0.1983
Bangladesh,BD,2004,p0p50,sptinc,0.1692
Bangladesh,BD,2004,p0p50,shweal,0.0458
Bangladesh,BD,2004,pall,anweal,16070.1936
Bangladesh,BD,2004,pall,wnweal,4.4351
Bangladesh,BD,2005,p0p100,spllin,0.19840001
Bangladesh,BD,2005,p0p50,sptinc,0.168
Bangladesh,BD,2005,p0p50,shweal,0.0457
Bangladesh,BD,2005,pall,anweal,17444.1051
Bangladesh,BD,2005,pall,wnweal,4.644600000000001
Bangladesh,BD,2006,p0p100,spllin,0.2005
Bangladesh,BD,2006,p0p50,sptinc,0.1696
Bangladesh,BD,2006,p0p50,shweal,0.0459
Bangladesh,BD,2006,pall,anweal,18082.5342
Bangladesh,BD,2006,pall,wnweal,4.5937
Bangladesh,BD,2007,p0p100,spllin,0.2124
Bangladesh,BD,2007,p0p50,sptinc,0.1703
Bangladesh,BD,2007,p0p50,shweal,0.0461
Bangladesh,BD,2007,pall,anweal,18577.0539
Bangladesh,BD,2007,pall,wnweal,4.4305
Bangladesh,BD,2008,p0p100,spllin,0.2254
Bangladesh,BD,2008,p0p50,sptinc,0.1774
Bangladesh,BD,2008,p0p50,shweal,0.0464
Bangladesh,BD,2008,pall,anweal,19993.1346
Bangladesh,BD,2008,pall,wnweal,4.5116
Bangladesh,BD,2009,p0p100,spllin,0.2393
Bangladesh,BD,2009,p0p50,sptinc,0.1807
Bangladesh,BD,2009,p0p50,shweal,0.0467
Bangladesh,BD,2009,pall,anweal,20931.9018
Bangladesh,BD,2009,pall,wnweal,4.4987
Bangladesh,BD,2010,p0p100,spllin,0.25690001
Bangladesh,BD,2010,p0p50,sptinc,0.179
Bangladesh,BD,2010,p0p50,shweal,0.0467
Bangladesh,BD,2010,pall,anweal,22856.7883
Bangladesh,BD,2010,pall,wnweal,4.6238
Bangladesh,BD,2011,p0p100,spllin,0.2588
Bangladesh,BD,2011,p0p50,sptinc,0.1822
Bangladesh,BD,2011,p0p50,shweal,0.0468
Bangladesh,BD,2011,pall,anweal,23841.3726
Bangladesh,BD,2011,pall,wnweal,4.5241
Bangladesh,BD,2012,p0p100,spllin,0.26089999
Bangladesh,BD,2012,p0p50,sptinc,0.1833
Bangladesh,BD,2012,p0p50,shweal,0.0469
Bangladesh,BD,2012,pall,anweal,25053.1337
Bangladesh,BD,2012,pall,wnweal,4.488300000000001
Bangladesh,BD,2013,p0p100,spllin,0.26300001
Bangladesh,BD,2013,p0p50,sptinc,0.1846
Bangladesh,BD,2013,p0p50,shweal,0.047
Bangladesh,BD,2013,pall,anweal,26683.5517
Bangladesh,BD,2013,pall,wnweal,4.5279
Bangladesh,BD,2014,p0p100,spllin,0.25240001
Bangladesh,BD,2014,p0p50,sptinc,0.1867
Bangladesh,BD,2014,p0p50,shweal,0.0472
Bangladesh,BD,2014,pall,anweal,28359.5774
Bangladesh,BD,2014,pall,wnweal,4.5278
Bangladesh,BD,2015,p0p100,spllin,0.24169999
Bangladesh,BD,2015,p0p50,sptinc,0.1899
Bangladesh,BD,2015,p0p50,shweal,0.0473
Bangladesh,BD,2015,pall,anweal,31465.2377
Bangladesh,BD,2015,pall,wnweal,4.686900000000001
Bangladesh,BD,2016,p0p100,spllin,0.23109999
Bangladesh,BD,2016,p0p50,sptinc,0.1906
Bangladesh,BD,2016,p0p50,shweal,0.0474
Bangladesh,BD,2016,pall,anweal,34189.5847
Bangladesh,BD,2016,pall,wnweal,4.8064
Bangladesh,BD,2017,p0p100,spllin,0.22040001
Bangladesh,BD,2017,p0p50,sptinc,0.1905
